Member Joining Date,Membership Start Date,Membership Type Name,Membership Completed On,Division Name
2021-09-13,2021-09-13,Gold Monthly (Pay w/Routing&Acct Only),2021-09-13,Gym Membership
2021-03-16,2021-03-16,Gold Monthly (Pay w/Routing&Acct Only),2021-03-16,Gym Membership
2021-07-12,2021-07-12,Platinum Monthly (Pay w Routing/Acct Only),2021-07-12,Gym Membership
2021-05-21,2021-05-21,Platinum Monthly ($2.99 Debit/CC Fee),2021-05-21,Gym Membership
2021-02-04,2021-02-04,Gold Monthly (Pay w/Routing&Acct Only),2021-02-04,Gym Membership
2021-07-12,2021-07-12,Gold Monthly (Pay w/Routing&Acct Only),2021-07-12,Gym Membership
2021-08-30,2021-08-30,Platinum Paid in Full,2021-08-30,Gym Membership
2021-03-28,2021-03-28,Gold Monthly (Pay w/Routing&Acct Only),2021-03-28,Gym Membership
2021-04-22,2021-04-22,Platinum Monthly ($2.99 Debit/CC Fee),2021-04-22,Gym Membership
2021-02-13,2021-02-13,Gold Monthly (Pay w/Routing&Acct Only),2021-02-13,Gym Membership
2021-06-09,2021-06-09,Platinum Monthly ($2.99 Debit/CC Fee),2021-06-09,Gym Membership
2021-03-22,2021-03-22,Gold Monthly (Pay w/Routing&Acct Only),2021-03-22,Gym Membership
2021-02-25,2021-02-13,Diamond Monthly (No Commitment) ,2021-02-13,Gym Membership
2021-09-20,2021-09-20,Gold Monthly ($2.99 Debit/CC Fee),2021-09-20,Gym Membership
2021-01-28,2021-01-28,Gold Monthly (No Commitment),2021-01-28,Gym Membership
2021-01-24,2021-01-24,Diamond Monthly ($2.99 Debit/CC Fee),2021-01-24,Marketing
2021-05-24,2021-05-24,Platinum Monthly ($2.99 Debit/CC Fee),2021-05-24,Gym Membership
2019-04-18,2021-01-19,Gold Monthly ($2.99 CC Fee),2021-01-19,Gym Membership
2021-05-03,2021-05-03,Platinum Monthly ($2.99 Debit/CC Fee),2021-05-03,Gym Membership
2021-01-28,2021-01-28,Gold Monthly (No Commitment),2021-01-28,Gym Membership
2021-08-30,2021-08-30,Diamond Monthly ($2.99 Debit/CC Fee),2021-08-30,Gym Membership
2021-02-22,2021-02-22,Platinum Monthly (Pay w Routing/Acct Only),2021-02-22,Gym Membership
2021-06-08,2021-06-08,Platinum Monthly (Pay w Routing/Acct Only),2021-06-08,Gym Membership
2021-08-04,2021-08-04,Gold Monthly (Pay w/Routing&Acct Only),2021-08-04,Gym Membership
2021-02-06,2021-02-06,Gold Monthly (Pay w/Routing&Acct Only),2021-02-06,Gym Membership
2017-01-01,2020-05-26,Diamond Monthly,2020-05-26,Gym Membership
2021-03-09,2021-03-09,Platinum Monthly (Pay w Routing/Acct Only),2021-03-09,Gym Membership
2021-04-27,2021-04-27,Gold Monthly ($2.99 Debit/CC Fee),2021-04-27,Gym Membership
2021-05-11,2021-05-11,Gold Monthly ($2.99 Debit/CC Fee),2021-05-11,Gym Membership
2021-08-20,2021-08-20,Platinum Monthly (Pay w Routing/Acct Only),2021-08-20,Gym Membership
2021-05-21,2021-05-21,Gold Monthly ($2.99 Debit/CC Fee),2021-05-21,Gym Membership
2021-03-16,2021-03-16,Platinum Monthly (Pay w Routing/Acct Only),2021-03-16,Gym Membership
2021-06-08,2021-06-08,Gold Monthly (Pay w/Routing&Acct Only),2021-06-08,Gym Membership
2021-01-22,2021-01-22,Gold Monthly ($2.99 CC Fee),2021-01-22,Gym Membership
2021-09-15,2021-09-15,Platinum Monthly (No Commitment),2021-09-15,Gym Membership
2021-05-01,2021-05-01,Platinum Monthly ($2.99 Debit/CC Fee),2021-05-01,Gym Membership
2021-04-07,2021-04-07,Gold Monthly (Pay w/Routing&Acct Only),2021-04-07,Gym Membership
2018-07-14,2021-01-31,Gold Monthly ($2.99 CC Fee),2021-01-31,Gym Membership
2021-04-19,2021-04-19,Platinum Monthly ($2.99 Debit/CC Fee),2021-04-19,Gym Membership
2021-04-20,2021-04-20,Gold Monthly (Pay w/Routing&Acct Only),2021-04-20,Gym Membership
2021-05-05,2021-05-05,SILVER SNEAKERS ,2021-05-05,Gym Membership
2021-03-24,2021-03-24,Diamond Monthly ($2.99 Debit/CC Fee),2021-03-24,Gym Membership
2021-01-20,2021-01-20,Gold Monthly ($2.99 Debit/CC Fee),2021-01-20,Gym Membership
2021-05-07,2021-05-07,Platinum Paid in Full,2021-05-07,Gym Membership
2021-02-20,2021-02-20,Gold Monthly (Pay w/Routing&Acct Only),2021-02-20,Gym Membership
2021-02-12,2021-02-12,Gold Monthly (Pay w/Routing&Acct Only),2021-02-12,Gym Membership
2021-02-17,2021-02-17,Platinum Monthly (Pay w Routing/Acct Only),2021-02-17,Gym Membership
2021-05-17,2021-05-17,Gold Monthly ($2.99 Debit/CC Fee),2021-05-17,Gym Membership
2021-08-02,2021-08-02,Gold Monthly (Pay w/Routing&Acct Only),2021-08-02,Gym Membership
2021-02-16,2021-02-16,Gold Monthly (Pay w/Routing&Acct Only),2021-02-16,Gym Membership
2021-04-14,2021-04-14,Gold Monthly (No Commitment),2021-04-14,Gym Membership
2021-10-04,2021-10-04,Gold Monthly (Pay w/Routing&Acct Only),2021-10-04,Gym Membership
2019-01-07,2021-05-24,Platinum Paid in Full,2021-05-24,Gym Membership
2021-03-20,2021-03-20,Gold Monthly (Pay w/Routing&Acct Only),2021-03-20,Gym Membership
2017-06-14,2021-04-12,Platinum Monthly (Pay w Routing/Acct Only),2021-04-12,Gym Membership
2021-03-02,2021-03-02,Diamond Monthly (Pay w/Routing&Acct Only),2021-03-02,Gym Membership
2021-07-14,2021-07-14,Gold Paid in Full,2021-07-14,Gym Membership
2021-07-05,2021-07-05,Platinum Monthly (Pay w Routing/Acct Only),2021-07-05,Gym Membership
2021-02-11,2021-02-11,Gold Monthly ($2.99 Debit/CC Fee),2021-02-11,Gym Membership
2021-04-27,2021-04-27,Platinum Paid in Full,2021-04-27,Gym Membership
2021-06-20,2021-06-20,Gold Monthly (Pay w/Routing&Acct Only),2021-06-20,Gym Membership
2021-06-27,2021-06-27,Platinum Monthly (Pay w Routing/Acct Only),2021-06-27,Gym Membership
2021-03-28,2021-03-28,Platinum Monthly (Pay w Routing/Acct Only),2021-03-28,Gym Membership
2021-04-11,2021-04-11,Diamond Monthly (Pay w/Routing&Acct Only),2021-04-11,Gym Membership
2021-06-21,2021-06-21,Platinum Monthly (Pay w Routing/Acct Only),2021-06-21,Gym Membership
2021-04-19,2021-04-19,Gold Monthly (Pay w/Routing&Acct Only),2021-04-19,Gym Membership
2021-04-13,2021-04-13,Platinum Monthly (Pay w Routing/Acct Only),2021-04-13,Gym Membership
2021-06-01,2021-06-01,Diamond Monthly (Pay w/Routing&Acct Only),2021-06-01,Gym Membership
2021-05-14,2021-05-14,Platinum Monthly ($2.99 Debit/CC Fee),2021-05-14,Gym Membership
2021-06-24,2021-06-24,Diamond Paid in Full,2021-06-24,Gym Membership
2021-05-06,2021-05-06,Platinum Monthly ($2.99 Debit/CC Fee),2021-05-06,Gym Membership
2021-02-10,2021-02-10,Gold Monthly (Pay w/Routing&Acct Only),2021-02-10,Gym Membership
2021-04-04,2021-04-04,Platinum Monthly (Pay w Routing/Acct Only),2021-04-04,Gym Membership
2021-01-06,2021-01-06,Gold Monthly ($2.99 CC Fee),2021-01-06,Gym Membership
2021-01-31,2021-01-31,Platinum Monthly ($2.99 CC Fee),2021-01-31,Gym Membership
2021-10-19,2021-10-19,Platinum Paid in Full,2021-10-19,Gym Membership
2021-06-17,2021-06-17,Gold Monthly (Pay w/Routing&Acct Only),2021-06-17,Gym Membership
2021-03-12,2021-03-12,Platinum Monthly (Pay w Routing/Acct Only),2021-03-12,Gym Membership
2021-02-08,2021-02-08,Platinum Monthly (Pay w Routing/Acct Only),2021-02-08,Gym Membership
2021-04-11,2021-04-11,Gold Monthly (Pay w/Routing&Acct Only),2021-04-11,Gym Membership
2021-07-01,2021-07-01,Diamond Monthly (Pay w/Routing&Acct Only),2021-07-01,Marketing
2021-07-09,2021-07-09,Gold Monthly (Pay w/Routing&Acct Only),2021-07-09,Gym Membership
2021-10-03,2021-10-03,Platinum Monthly (Pay w Routing/Acct Only),2021-10-03,Gym Membership
2021-01-31,2021-01-31,Gold Monthly (Pay w/Routing&Acct Only),2021-01-31,Gym Membership
2021-06-09,2021-06-09,Platinum Monthly ($2.99 Debit/CC Fee),2021-06-09,Gym Membership
2021-04-21,2021-04-21,Platinum Monthly (Pay w Routing/Acct Only),2021-04-21,Gym Membership
2021-07-14,2021-07-14,Gold Paid in Full,2021-07-14,Gym Membership
2021-04-17,2021-04-18,Diamond Monthly (Pay w/Routing&Acct Only),2021-04-17,Gym Membership
2021-02-05,2021-02-05,Diamond Monthly ($2.99 Debit/CC Fee),2021-02-05,Gym Membership
2021-02-13,2021-02-13,Platinum Monthly (Pay w Routing/Acct Only),2021-02-13,Gym Membership
2021-02-06,2021-02-06,Gold Monthly (Pay w/Routing&Acct Only),2021-02-06,Gym Membership
2021-01-03,2021-01-03,SILVER SNEAKERS ,2021-01-03,Gym Membership
2021-03-04,2021-03-04,Gold Monthly (Pay w/Routing&Acct Only),2021-03-04,Gym Membership
2021-04-17,2021-04-17,Gold Monthly (Pay w/Routing&Acct Only),2021-04-17,Gym Membership
2021-07-13,2021-07-13,Platinum Monthly ($2.99 Debit/CC Fee),2021-07-13,Gym Membership
2021-02-17,2021-02-17,Platinum Monthly (Pay w Routing/Acct Only),2021-02-17,Gym Membership
2021-07-04,2021-07-04,Platinum Monthly (Pay w Routing/Acct Only),2021-07-04,Gym Membership
2021-09-17,2021-09-17,Platinum Monthly (Pay w Routing/Acct Only),2021-09-17,Gym Membership
2021-01-21,2021-01-21,Gold Monthly,2021-01-21,Gym Membership
2021-02-01,2021-02-01,Gold Monthly (Pay w/Routing&Acct Only),2021-02-01,Gym Membership
2021-08-27,2021-08-27,Gold Monthly (Pay w/Routing&Acct Only),2021-08-27,Gym Membership
2021-09-21,2021-09-21,Gold Monthly ($2.99 Debit/CC Fee),2021-09-21,Gym Membership
2021-03-28,2021-03-28,Platinum Monthly (Pay w Routing/Acct Only),2021-03-28,Gym Membership
2021-03-05,2021-03-05,Platinum Monthly (Pay w Routing/Acct Only),2021-03-05,Gym Membership
2021-09-09,2021-09-09,Platinum Monthly (Pay w Routing/Acct Only),2021-09-09,Gym Membership
2021-01-01,2021-01-01,Gold Monthly ($2.99 CC Fee),2021-01-01,Gym Membership
2021-01-26,2021-01-26,Gold Monthly ($2.99 CC Fee),2021-01-26,Gym Membership
2021-05-05,2021-05-05,Diamond Monthly ($2.99 Debit/CC Fee),2021-05-05,Gym Membership
2021-04-01,2021-04-01,SILVER SNEAKERS ,2021-04-01,Gym Membership
2021-04-03,2021-04-03,Gold Monthly (Pay w/Routing&Acct Only),2021-04-03,Gym Membership
2021-08-10,2021-08-10,Platinum Monthly (Pay w Routing/Acct Only),2021-08-10,Gym Membership
2021-01-08,2021-01-08,Platinum Paid in Full ($10 Signup Limited Time Offer),2021-01-08,Gym Membership
2021-01-10,2021-01-10,Gold Monthly (Pay w/Routing&Acct Only),2021-01-10,Gym Membership
2021-02-16,2021-02-16,Gold Monthly (Pay w/Routing&Acct Only),2021-02-16,Gym Membership
2021-02-14,2021-02-14,Gold Monthly (Pay w/Routing&Acct Only),2021-02-14,Gym Membership
2021-05-04,2021-05-04,Gold Monthly ($2.99 Debit/CC Fee),2021-05-04,Gym Membership
2021-07-28,2021-07-28,Gold Monthly (Pay w/Routing&Acct Only),2021-07-28,Gym Membership
2021-02-08,2021-02-08,Gold Monthly (Pay w/Routing&Acct Only),2021-02-08,Gym Membership
2021-02-04,2021-02-04,Gold Paid in Full,2021-02-04,Gym Membership
2021-10-25,2021-10-25,Diamond Monthly,2021-10-25,Gym Membership
2021-02-10,2021-02-10,Gold Monthly (Pay w/Routing&Acct Only),2021-02-10,Gym Membership
2021-07-13,2021-07-13,Gold Monthly (Pay w/Routing&Acct Only),2021-07-13,Gym Membership
2021-01-17,2021-01-17,Platinum Monthly ($2.99 CC Fee),2021-01-17,Gym Membership
2021-01-10,2021-01-10,Gold Monthly (Pay w/Routing&Acct Only),2021-01-10,Gym Membership
2021-09-01,2021-09-01,Platinum Paid in Full,2021-09-01,Gym Membership
2021-03-29,2021-03-29,Platinum Monthly ($2.99 Debit/CC Fee),2021-03-29,Gym Membership
2021-03-16,2021-03-16,Platinum Monthly (Pay w Routing/Acct Only),2021-03-16,Gym Membership
2021-05-22,2021-05-22,SILVER SNEAKERS ,2021-05-22,Gym Membership
2021-03-19,2021-03-19,Gold Monthly (Pay w/Routing&Acct Only),2021-03-19,Gym Membership
2021-03-17,2021-03-17,Diamond Monthly (Pay w/Routing&Acct Only),2021-03-17,Gym Membership
2021-02-01,2021-02-01,Gold Monthly (Pay w/Routing&Acct Only),2021-02-01,Gym Membership
2021-07-28,2021-07-28,Gold Monthly (Pay w/Routing&Acct Only),2021-07-28,Gym Membership
2021-07-30,2021-07-30,Platinum Monthly (Pay w Routing/Acct Only),2021-07-30,Gym Membership
2021-10-10,2021-10-10,Platinum Monthly ($2.99 Debit/CC Fee),2021-10-10,Gym Membership
2021-08-14,2021-08-14,Platinum Monthly (Pay w Routing/Acct Only),2021-08-14,Gym Membership
2021-08-15,2021-08-15,Platinum Monthly (Pay w Routing/Acct Only),2021-08-15,Gym Membership
2021-04-25,2021-04-25,Platinum Monthly (Pay w Routing/Acct Only),2021-04-25,Gym Membership
2021-03-26,2021-03-26,Gold Paid in Full,2021-03-26,Gym Membership
2021-08-02,2021-08-02,Gold Monthly ($2.99 Debit/CC Fee),2021-08-02,Gym Membership
2017-06-12,2021-07-17,Gold Monthly (Pay w/Routing&Acct Only),2021-07-17,Gym Membership
2021-03-29,2021-03-29,Gold Monthly (Pay w/Routing&Acct Only),2021-03-29,Gym Membership
2021-01-25,2021-01-25,Platinum Monthly ($2.99 CC Fee),2021-01-25,Gym Membership
2021-03-19,2021-03-19,Platinum Monthly (Pay w Routing/Acct Only),2021-03-19,Gym Membership
2021-10-22,2021-10-22,Platinum Monthly ($2.99 Debit/CC Fee),2021-10-22,Gym Membership
2021-09-30,2021-09-30,Platinum Paid in Full,2021-09-30,Gym Membership
2021-04-13,2021-04-13,Platinum Monthly (No Commitment),2021-04-13,Gym Membership
2021-05-23,2021-05-23,Gold Paid in Full,2021-05-23,Gym Membership
2021-05-15,2021-05-15,Gold Monthly ($2.99 Debit/CC Fee),2021-05-15,Gym Membership
2021-06-30,2021-06-30,Platinum Monthly (No Commitment),2021-06-30,Gym Membership
2021-04-17,2021-04-17,Platinum Monthly ($2.99 Debit/CC Fee),2021-04-17,Gym Membership
2021-08-19,2021-08-19,Gold Monthly (Pay w/Routing&Acct Only),2021-08-19,Gym Membership
2021-10-11,2021-10-11,Platinum Monthly (Pay w Routing/Acct Only),2021-10-11,Gym Membership
2021-07-18,2021-07-18,Gold Monthly (Pay w/Routing&Acct Only),2021-07-18,Gym Membership
2021-04-26,2021-04-26,Gold Monthly (Pay w/Routing&Acct Only),2021-04-26,Gym Membership
2021-08-08,2021-08-08,Platinum Paid in Full,2021-08-08,Gym Membership
2021-02-03,2021-02-03,Gold Monthly (Pay w/Routing&Acct Only),2021-02-03,Gym Membership
2021-03-26,2021-03-26,Platinum Monthly (No Commitment),2021-03-26,Gym Membership
2021-05-14,2021-05-14,Gold Monthly ($2.99 Debit/CC Fee),2021-05-14,Gym Membership
2021-01-05,2021-01-05,Gold Monthly (Pay w/Routing&Acct Only),2021-01-05,Gym Membership
2021-02-07,2021-02-07,Gold Monthly (Pay w/Routing&Acct Only),2021-02-07,Gym Membership
2021-09-02,2021-09-02,Platinum Monthly ($2.99 Debit/CC Fee),2021-09-02,Gym Membership
2021-03-29,2021-03-29,Platinum Monthly (Pay w Routing/Acct Only),2021-03-29,Gym Membership
2021-08-31,2021-08-31,Platinum Monthly (Pay w Routing/Acct Only),2021-08-31,Gym Membership
2021-07-13,2021-07-13,Platinum Paid in Full,2021-07-13,Gym Membership
2021-06-21,2021-06-21,Platinum Monthly (Pay w Routing/Acct Only),2021-06-21,Gym Membership
2021-06-30,2021-06-30,Gold Monthly (Pay w/Routing&Acct Only),2021-06-30,Gym Membership
2021-06-06,2021-06-06,Platinum Monthly (Pay w Routing/Acct Only),2021-06-06,Gym Membership
2021-04-05,2021-04-05,Platinum Monthly ($2.99 Debit/CC Fee),2021-04-05,Gym Membership
2021-02-17,2021-02-17,Gold Monthly (Pay w/Routing&Acct Only),2021-02-17,Gym Membership
2021-09-03,2021-09-03,SILVER SNEAKERS ,2021-09-03,Gym Membership
2021-04-29,2021-04-29,Platinum Monthly (Pay w Routing/Acct Only),2021-04-29,Gym Membership
2021-01-19,2021-01-19,Gold Monthly (Pay w/Routing&Acct Only),2021-01-19,Gym Membership
2021-05-25,2021-05-25,Gold Monthly ($2.99 Debit/CC Fee),2021-05-25,Gym Membership
2021-03-19,2021-03-19,Platinum Monthly (Pay w Routing/Acct Only),2021-03-19,Gym Membership
2021-03-08,2021-03-08,Gold Monthly (Pay w/Routing&Acct Only),2021-03-08,Gym Membership
2021-02-17,2021-02-17,Gold Monthly (Pay w/Routing&Acct Only),2021-02-17,Gym Membership
2021-04-26,2021-04-26,Platinum Monthly (Pay w Routing/Acct Only),2021-04-26,Gym Membership
2021-06-20,2021-06-20,Platinum Monthly (Pay w Routing/Acct Only),2021-06-20,Gym Membership
2017-11-30,2021-01-07,Gold Monthly,2021-01-07,Gym Membership
2021-07-18,2021-07-18,Diamond Monthly (Pay w/Routing&Acct Only),2021-07-18,Gym Membership
2021-08-19,2021-08-19,Diamond Monthly (Pay w/Routing&Acct Only),2021-08-19,Gym Membership
2021-02-04,2021-02-04,Gold Paid in Full,2021-02-04,Gym Membership
2021-01-08,2021-01-08,Platinum Monthly (Pay w Routing/Acct Only),2021-01-08,Gym Membership
2021-03-26,2021-03-26,Diamond Paid in Full,2021-03-26,Gym Membership
2021-03-09,2021-03-09,Platinum Monthly (Pay w Routing/Acct Only),2021-03-09,Gym Membership
2021-02-16,2021-02-16,Platinum Monthly (Pay w Routing/Acct Only),2021-02-16,Gym Membership
2021-10-14,2021-10-14,Gold Monthly ($2.99 Debit/CC Fee),2021-10-14,Gym Membership
2021-01-25,2021-01-25,Diamond Monthly (Pay w/Routing&Acct Only),2021-01-25,Gym Membership
2021-01-11,2021-01-11,Platinum Monthly (Pay w Routing/Acct Only),2021-01-11,Gym Membership
2021-02-08,2021-02-08,Platinum Monthly (Pay w Routing/Acct Only),2021-02-08,Gym Membership
2021-05-14,2021-05-14,Platinum Monthly ($2.99 Debit/CC Fee),2021-05-14,Gym Membership
2021-04-12,2021-04-12,Diamond Monthly (Pay w/Routing&Acct Only),2021-04-12,Gym Membership
2021-06-13,2021-06-13,Platinum Monthly (Pay w Routing/Acct Only),2021-06-13,Gym Membership
2021-10-26,2021-10-26,Platinum Monthly ($2.99 CC Fee),2021-10-26,Gym Membership
2021-08-19,2021-08-19,Diamond Monthly ($2.99 Debit/CC Fee),2021-08-19,Gym Membership
2021-04-12,2021-04-12,Gold Monthly (Pay w/Routing&Acct Only),2021-04-12,Gym Membership
2021-05-12,2021-05-12,Platinum Monthly ($2.99 Debit/CC Fee),2021-05-12,Gym Membership
2021-05-25,2021-05-25,Gold Monthly (No Commitment),2021-05-25,Gym Membership
2021-01-26,2021-01-26,Gold Monthly (Pay w/Routing&Acct Only),2021-01-26,Gym Membership
2021-05-17,2021-05-17,Gold Monthly ($2.99 Debit/CC Fee),2021-05-17,Gym Membership
2021-05-17,2021-05-17,Platinum Monthly ($2.99 Debit/CC Fee),2021-05-17,Gym Membership
2021-09-07,2021-09-07,Platinum Monthly (Pay w Routing/Acct Only),2021-09-07,Gym Membership
2021-06-17,2021-06-17,Gold Monthly (Pay w/Routing&Acct Only),2021-06-17,Gym Membership
2021-01-21,2021-01-21,Gold Monthly (Pay w/Routing&Acct Only),2021-01-21,Gym Membership
2021-06-27,2021-06-27,Diamond Monthly (Pay w/Routing&Acct Only),2021-06-27,Gym Membership
2021-05-09,2021-05-09,Gold Monthly (Pay w/Routing&Acct Only),2021-05-09,Gym Membership
2021-01-04,2021-01-04,Platinum Monthly(Special offer),2021-01-04,Gym Membership
2021-03-14,2021-03-14,Gold Monthly (Pay w/Routing&Acct Only),2021-03-14,Gym Membership
2021-06-07,2021-06-07,Gold Monthly (Pay w/Routing&Acct Only),2021-06-07,Gym Membership
2021-03-26,2021-03-26,Platinum Monthly (Pay w Routing/Acct Only),2021-03-26,Gym Membership
2021-03-26,2021-03-26,Diamond Monthly (Pay w/Routing&Acct Only),2021-03-26,Gym Membership
2021-08-09,2021-08-09,Diamond Monthly (Pay w/Routing&Acct Only),2021-08-09,Gym Membership
2021-02-24,2021-02-24,Platinum Monthly (Pay w Routing/Acct Only),2021-02-24,Gym Membership
2021-01-10,2021-01-10,Gold Paid in Full,2021-01-10,Gym Membership
2021-01-16,2021-01-16,Gold Monthly (Pay w/Routing&Acct Only),2021-01-16,Gym Membership
2021-03-23,2021-03-23,Platinum Monthly ($2.99 Debit/CC Fee),2021-03-23,Gym Membership
2021-07-05,2021-07-05,Gold Monthly (Pay w/Routing&Acct Only),2021-07-05,Gym Membership
2021-06-01,2021-06-01,Platinum Monthly ($2.99 Debit/CC Fee),2021-06-01,Gym Membership
2021-06-03,2021-06-03,Gold Monthly (Pay w/Routing&Acct Only),2021-06-03,Gym Membership
2021-07-28,2021-07-28,Platinum Monthly ($2.99 Debit/CC Fee),2021-07-28,Gym Membership
2021-08-26,2021-08-26,Platinum Monthly (Pay w Routing/Acct Only),2021-08-26,Gym Membership
2021-05-15,2021-05-15,Platinum Monthly (Pay w Routing/Acct Only),2021-05-15,Gym Membership
2021-02-06,2021-02-06,Gold Monthly (Pay w/Routing&Acct Only),2021-02-06,Gym Membership
2021-10-04,2021-10-04,Platinum Monthly ($2.99 Debit/CC Fee),2021-10-04,Gym Membership
2021-06-30,2021-06-30,Platinum Monthly (Pay w Routing/Acct Only),2021-06-30,Gym Membership
2021-02-14,2021-02-14,Gold Paid in Full,2021-02-14,Gym Membership
2021-10-22,2021-10-22,Platinum Monthly ($2.99 Debit/CC Fee),2021-10-22,Gym Membership
2021-07-19,2021-07-19,Gold Monthly (Pay w/Routing&Acct Only),2021-07-19,Gym Membership
2021-05-28,2021-05-28,Gold Monthly (Pay w/Routing&Acct Only),2021-05-28,Gym Membership
2021-05-08,2021-05-08,Platinum Monthly (Pay w Routing/Acct Only),2021-05-08,Gym Membership
2021-08-24,2021-08-24,Gold Monthly ($2.99 Debit/CC Fee),2021-08-24,Gym Membership
2021-07-06,2021-07-06,Diamond Paid in Full,2021-07-06,Gym Membership
2021-06-01,2021-06-01,Platinum Monthly (No Commitment),2021-06-01,Gym Membership
2021-05-24,2021-05-24,Diamond Monthly (Pay w/Routing&Acct Only),2021-05-24,Gym Membership
2021-02-16,2021-02-16,Gold Monthly,2021-02-16,Gym Membership
2021-03-28,2021-03-28,Gold Monthly (Pay w/Routing&Acct Only),2021-03-28,Gym Membership
2021-02-04,2021-02-04,Gold Monthly ($2.99 Debit/CC Fee),2021-02-04,Gym Membership
2021-02-03,2021-02-03,Gold Monthly (Pay w/Routing&Acct Only),2021-02-03,Gym Membership
2021-06-06,2021-06-06,Platinum Monthly (No Commitment),2021-06-06,Gym Membership
2021-06-16,2021-06-16,Gold Monthly (Pay w/Routing&Acct Only),2021-06-16,Gym Membership
2021-03-06,2021-03-06,Diamond Monthly (Pay w/Routing&Acct Only),2021-03-06,Gym Membership
2021-10-06,2021-10-06,Gold Monthly (Pay w/Routing&Acct Only),2021-10-06,Gym Membership
2021-04-14,2021-04-14,Platinum Monthly (Pay w Routing/Acct Only),2021-04-14,Gym Membership
2021-05-02,2021-05-02,Platinum Monthly (Pay w Routing/Acct Only),2021-05-02,Gym Membership
2021-06-14,2021-06-14,Gold Monthly (Pay w/Routing&Acct Only),2021-06-14,Gym Membership
2021-02-04,2021-02-04,Gold Monthly (Pay w/Routing&Acct Only),2021-02-04,Gym Membership
2021-02-23,2021-02-23,Platinum Monthly (Pay w Routing/Acct Only),2021-02-23,Gym Membership
2021-04-19,2021-04-19,Platinum Monthly (Pay w Routing/Acct Only),2021-04-19,Gym Membership
2021-04-30,2021-04-30,Platinum Monthly ($2.99 Debit/CC Fee),2021-04-30,Gym Membership
2021-03-06,2021-03-06,SILVER SNEAKERS ,2021-03-06,Gym Membership
2021-05-05,2021-05-05,Diamond Monthly ($2.99 Debit/CC Fee),2021-05-05,Gym Membership
2021-02-19,2021-02-19,Diamond Monthly (Pay w/Routing&Acct Only),2021-02-19,Gym Membership
2021-08-26,2021-08-26,Diamond Monthly (Pay w/Routing&Acct Only),2021-08-26,Gym Membership
2021-02-08,2021-02-08,Gold Monthly (Pay w/Routing&Acct Only),2021-02-08,Gym Membership
2021-01-09,2021-01-09,Diamond Monthly (Pay w/Routing&Acct Only),2021-01-09,Gym Membership
2021-07-18,2021-07-18,Platinum Monthly (Pay w Routing/Acct Only),2021-07-18,Gym Membership
2017-11-17,2021-03-09,Platinum Monthly (No Commitment),2021-03-09,Gym Membership
2021-08-08,2021-08-08,Gold Monthly (Pay w/Routing&Acct Only),2021-08-08,Gym Membership
2021-08-10,2021-08-10,Gold Monthly (Pay w/Routing&Acct Only),2021-08-10,Gym Membership
2021-02-15,2021-02-15,Platinum Monthly (Pay w Routing/Acct Only),2021-02-15,Gym Membership
2021-07-26,2021-07-26,Gold Monthly (Pay w/Routing&Acct Only),2021-07-26,Gym Membership
2021-06-21,2021-06-21,Gold Monthly (Pay w/Routing&Acct Only),2021-06-21,Gym Membership
2021-07-08,2021-07-08,Diamond Monthly,2021-07-08,Gym Membership
2021-06-28,2021-06-28,Platinum Paid in Full,2021-06-28,Gym Membership
2021-02-05,2021-02-05,Diamond Monthly (Pay w/Routing&Acct Only),2021-02-05,Gym Membership
2021-04-02,2021-04-02,Platinum Monthly (Pay w Routing/Acct Only),2021-04-02,Gym Membership
2021-01-04,2021-01-04,Gold Monthly (Pay w/Routing&Acct Only),2021-01-04,Gym Membership
2021-03-22,2021-03-22,Diamond Paid in Full,2021-03-22,Gym Membership
2021-02-14,2021-02-14,Platinum Monthly (Pay w Routing/Acct Only),2021-02-14,Gym Membership
2021-08-27,2021-08-27,Platinum Monthly (Pay w Routing/Acct Only),2021-08-27,Gym Membership
2021-02-08,2021-02-08,Gold Monthly (Pay w/Routing&Acct Only),2021-02-08,Gym Membership
2021-02-07,2021-02-07,Gold Monthly (Pay w/Routing&Acct Only),2021-02-07,Gym Membership
2021-06-08,2021-06-08,Platinum Monthly (Pay w Routing/Acct Only),2021-06-08,Gym Membership
2021-07-15,2021-07-15,Platinum Monthly (Pay w Routing/Acct Only),2021-07-15,Gym Membership
2021-05-30,2021-05-30,Platinum Monthly (Pay w Routing/Acct Only),2021-05-30,Gym Membership
2021-02-16,2021-02-16,Platinum Monthly (Pay w Routing/Acct Only),2021-02-16,Gym Membership
2021-01-27,2021-01-27,Platinum Monthly (Pay w Routing/Acct Only),2021-01-27,Gym Membership
2021-07-19,2021-07-20,Platinum Monthly ($2.99 CC Fee),2021-07-19,Gym Membership
2021-02-07,2021-02-07,Platinum Monthly (No Commitment),2021-02-07,Gym Membership
2018-01-27,2021-03-08,SILVER SNEAKERS ,2021-03-08,Gym Membership
2021-04-19,2021-04-19,Gold Paid in Full,2021-04-19,Gym Membership
2021-06-18,2021-06-18,Platinum Monthly (Pay w Routing/Acct Only),2021-06-18,Gym Membership
2021-02-16,2021-02-16,Platinum Monthly (Pay w Routing/Acct Only),2021-02-16,Gym Membership
2021-03-26,2021-03-26,Gold Monthly (Pay w/Routing&Acct Only),2021-03-26,Gym Membership
